+----------+
| COUNT(*) |
+----------+
|      558 |
+----------+
+--------------------------------------+-------------+---------------+--------+---------------------+---------------------+
| source_object_id                     | xref_id     | source_action | status | last_updated        | reason_str          |
| c93b150e-5a20-4624-bace-e8f77faa7a06 | caagc-27117 | INSERT        |      3 | 2019-03-05 21:20:45 | Project is required |
| c93b150e-5a20-4624-bace-e8f77faa7a06 | caagc-27117 | INSERT        |      3 | 2019-03-05 21:20:45 | Project is required |
| 838ef4a4-b6a1-4957-921c-9832475bcbe5 | caagc-27109 | INSERT        |      3 | 2019-03-05 21:05:37 | Project is required |
| 7a71ac3e-65d5-4a90-a1a2-6e4a75fa37f4 | caagc-27107 | INSERT        |      3 | 2019-03-05 20:59:15 | Project is required |
| 3c437416-482c-42d2-9a2b-a39ab6a623c6 | caagc-26645 | INSERT        |      3 | 2019-03-03 21:57:33 | Project is required |
| 3c437416-482c-42d2-9a2b-a39ab6a623c6 | caagc-26645 | INSERT        |      3 | 2019-03-03 21:57:33 | Project is required |
| d51529a4-67a2-4fe9-ac4d-046d762a616b | caagc-26510 | INSERT        |      3 | 2019-03-01 14:14:21 | Project is required |
| 9655deed-2453-4139-b226-cede5c3a1f16 | caagc-26509 | INSERT        |      3 | 2019-03-01 14:11:36 | Project is required |
| 39aaa58a-52a5-48ed-9c67-6d67440a5ebc | caagc-26498 | INSERT        |      3 | 2019-03-01 01:19:48 | Project is required |
| 39aaa58a-52a5-48ed-9c67-6d67440a5ebc | caagc-26498 | INSERT        |      3 | 2019-03-01 01:19:48 | Project is required |
| fe4197fb-3fa9-4d18-9fbe-cd885177a049 | caagc-26470 | INSERT        |      3 | 2019-02-28 21:58:52 | Project is required |
| fe4197fb-3fa9-4d18-9fbe-cd885177a049 | caagc-26470 | INSERT        |      3 | 2019-02-28 21:58:52 | Project is required |
| 2903be6d-86af-43c3-83f0-8c45d7d159f4 | caagc-26466 | INSERT        |      3 | 2019-02-28 21:50:07 | Project is required |
| e1e21f5d-ce65-450f-9dfb-86739fe1a9b1 | caagc-26448 | INSERT        |      3 | 2019-02-28 21:23:02 | Project is required |
| 15ccad0b-8a9c-4a90-ab8a-c9845924d5e3 | caagc-26445 | INSERT        |      3 | 2019-02-28 21:22:29 | Project is required |
| afd78eee-2081-44c4-a6f7-155f852ae2ab | caagc-26437 | INSERT        |      3 | 2019-02-28 21:10:51 | Project is required |
